city,force_size,race,perc_in
"Fort Lauderdale, Fla.",950,white,0.220183486
St. Louis,950,white,0.538461538
"Brownsville, Texas",925,white,0.5
"Albany, N.Y.",890,white,0.16025641
"Colorado Springs, Colo.",860,white,0.553030303
"Savannah, Ga.",860,white,0.076923077
"Winston-Salem, N.C.",860,white,0.424778761
"Toledo, Ohio",805,white,0.530769231
"Madison, Wis.",790,white,0.246478873
"Corpus Christi, Texas",770,white,0.893333333
"San Bernardino, Calif.",755,white,0.263157895
New York,32300,non_white,0.764418938
Chicago,12120,non_white,0.877400295
Los Angeles,10100,non_white,0.263848397
Washington,9340,non_white,0.15736505
Houston,7700,non_white,0.399258344
Philadelphia,6045,non_white,0.899480069
Phoenix,4475,non_white,0.427350427
San Diego,4460,non_white,0.348484848
Dallas,3605,non_white,0.213450292
Detroit,3265,non_white,0.542787286
San Francisco,3020,non_white,0.378472222
San Antonio,2955,non_white,0.713924051
Atlanta,2950,non_white,0.111398964
Las Vegas,2830,non_white,0.307692308
Baltimore,2800,non_white,0.361842105
Boston,2560,non_white,0.582677165
"Jacksonville, Fla.",2335,non_white,0.956521739
"El Paso, Texas",2260,non_white,0.86102719
"Columbus, Ohio",2245,non_white,0.518072289
Cleveland,2045,non_white,0.669014085
"Tucson, Ariz.",2020,non_white,0.375
"Newark, N.J.",2005,non_white,0.371428571
"Austin, Texas",1985,non_white,0.426900585
"Memphis, Tenn.",1970,non_white,0.640243902
Milwaukee,1960,non_white,0.784
"San Jose, Calif.",1875,non_white,0.457142857
Miami,1860,non_white,0.087591241
Denver,1820,non_white,0.48951049
"Sacramento, Calif.",1820,non_white,0.1375
"Charlotte, N.C.",1780,non_white,0.592592593
"Tampa, Fla.",1715,non_white,0.277777778
Indianapolis,1620,non_white,0.4
"Santa Ana, Calif.",1590,non_white,0.120879121
New Orleans,1560,non_white,0.593137255
"Oakland, Calif.",1530,non_white,0.16025641
"Orlando, Fla.",1530,non_white,0.169811321
"Oklahoma City, Okla.",1500,non_white,0.807017544
Seattle,1445,non_white,0.122222222
"Kansas City, Mo.",1440,non_white,0.842105263
"Nashville, Tenn.",1440,non_white,0.933333333
"Laredo, Texas",1435,non_white,0.931330472
"Fort Worth, Texas",1430,non_white,0.585365854
"Louisville, Ky.",1430,non_white,0.782608696
"Norfolk, Va.",1425,non_white,0.153225806
"Arlington, Va.",1360,non_white,0.1796875
Pittsburgh,1350,non_white,0.538461538
"Albuquerque, N.M.",1340,non_white,0.601503759
"Jersey City, N.J.",1170,non_white,0.341772152
"Raleigh, N.C.",1150,non_white,0.56097561
"Rochester, N.Y.",1150,non_white,0.271186441
Cincinnati,1145,non_white,0.490566038
"Long Beach, Calif.",1115,non_white,0.303278689
"Birmingham, Ala.",1110,non_white,0.325581395
"Wichita, Kan.",1075,non_white,0.933333333
"Virginia Beach, Va.",1070,non_white,0.888888889
"Fresno, Calif.",1040,non_white,0.519230769
"Buffalo, N.Y.",1010,non_white,0.580645161
Minneapolis,1000,non_white,0.379310345
"Portland, Ore.",1000,non_white,0.391304348
"Reno, Nev.",1000,non_white,0.458333333
"Richmond, Va.",1000,non_white,0.12195122
"Baton Rouge, La.",980,non_white,0.320512821
"Jackson, Miss.",960,non_white,0.579831933
"Riverside, Calif.",955,non_white,0.076923077
"Fort Lauderdale, Fla.",950,non_white,0.098765432
St. Louis,950,non_white,0.671232877
"Brownsville, Texas",925,non_white,0.514124294
"Albany, N.Y.",890,non_white,0.363636364
"Colorado Springs, Colo.",860,non_white,0.775
"Savannah, Ga.",860,non_white,0.299065421
"Winston-Salem, N.C.",860,non_white,0.86440678
"Toledo, Ohio",805,non_white,0.709677419
"Madison, Wis.",790,non_white,0.5625
"Corpus Christi, Texas",770,non_white,0.82278481
"San Bernardino, Calif.",755,non_white,0.28
New York,32300,black,0.770891365
Chicago,12120,black,0.89740566
Los Angeles,10100,black,0.387387387
Washington,9340,black,0.170189099
Houston,7700,black,0.36637931
Philadelphia,6045,black,0.924657534
Phoenix,4475,black,0.52173913
San Diego,4460,black,0.538461538
Dallas,3605,black,0.214634146
Detroit,3265,black,0.568
San Francisco,3020,black,0.186046512
San Antonio,2955,black,0.574468085
Atlanta,2950,black,0.101983003
Las Vegas,2830,black,0.387755102
Baltimore,2800,black,0.391459075
Boston,2560,black,0.686567164
"Jacksonville, Fla.",2335,black,1.0
"El Paso, Texas",2260,black,NA
"Columbus, Ohio",2245,black,0.571428571
Cleveland,2045,black,0.595959596
"Tucson, Ariz.",2020,black,NA
"Newark, N.J.",2005,black,0.519480519
"Austin, Texas",1985,black,0.25
"Memphis, Tenn.",1970,black,0.668874172
Milwaukee,1960,black,0.931034483
"San Jose, Calif.",1875,black,NA
Miami,1860,black,0.0
Denver,1820,black,0.580645161
"Sacramento, Calif.",1820,black,0.32
"Charlotte, N.C.",1780,black,0.833333333
"Tampa, Fla.",1715,black,0.276595745
Indianapolis,1620,black,0.383333333
"Santa Ana, Calif.",1590,black,NA
New Orleans,1560,black,0.62371134
"Oakland, Calif.",1530,black,0.0625
"Orlando, Fla.",1530,black,NA
"Oklahoma City, Okla.",1500,black,0.62962963
Seattle,1445,black,0.1875
"Kansas City, Mo.",1440,black,1.0
"Nashville, Tenn.",1440,black,0.947368421
"Laredo, Texas",1435,black,NA
"Fort Worth, Texas",1430,black,0.637931034
"Louisville, Ky.",1430,black,0.772727273
"Norfolk, Va.",1425,black,0.106796117
"Arlington, Va.",1360,black,0.16
Pittsburgh,1350,black,0.533333333
"Albuquerque, N.M.",1340,black,NA
"Jersey City, N.J.",1170,black,0.303030303
"Raleigh, N.C.",1150,black,NA
"Rochester, N.Y.",1150,black,0.195121951
Cincinnati,1145,black,0.648648649
"Long Beach, Calif.",1115,black,NA
"Birmingham, Ala.",1110,black,0.328125
"Wichita, Kan.",1075,black,NA
"Virginia Beach, Va.",1070,black,0.727272727
"Fresno, Calif.",1040,black,0.681818182
"Buffalo, N.Y.",1010,black,NA
Minneapolis,1000,black,NA
"Portland, Ore.",1000,black,NA
"Reno, Nev.",1000,black,NA
"Richmond, Va.",1000,black,0.208333333
"Baton Rouge, La.",980,black,0.342465753
"Jackson, Miss.",960,black,0.579831933
"Riverside, Calif.",955,black,0.0
"Fort Lauderdale, Fla.",950,black,0.102564103
St. Louis,950,black,0.682539683
"Brownsville, Texas",925,black,NA
"Albany, N.Y.",890,black,NA
"Colorado Springs, Colo.",860,black,NA
"Savannah, Ga.",860,black,0.170731707
"Winston-Salem, N.C.",860,black,0.869565217
"Toledo, Ohio",805,black,0.75
"Madison, Wis.",790,black,NA
"Corpus Christi, Texas",770,black,NA
"San Bernardino, Calif.",755,black,NA
New York,32300,hispanic,0.762860728
Chicago,12120,hispanic,0.83982684
Los Angeles,10100,hispanic,0.217679558
Washington,9340,hispanic,0.08988764
Houston,7700,hispanic,0.457142857
Philadelphia,6045,hispanic,0.817391304
Phoenix,4475,hispanic,0.427710843
San Diego,4460,hispanic,0.297794118
Dallas,3605,hispanic,0.256880734
Detroit,3265,hispanic,0.333333333
San Francisco,3020,hispanic,0.253333333
San Antonio,2955,hispanic,0.739130435
Atlanta,2950,hispanic,NA
Las Vegas,2830,hispanic,0.267857143
Baltimore,2800,hispanic,NA
Boston,2560,hispanic,0.75
"Jacksonville, Fla.",2335,hispanic,0.888888889
"El Paso, Texas",2260,hispanic,0.86102719
"Columbus, Ohio",2245,hispanic,NA
Cleveland,2045,hispanic,0.941176471
"Tucson, Ariz.",2020,hispanic,0.333333333
"Newark, N.J.",2005,hispanic,0.260416667
"Austin, Texas",1985,hispanic,0.453846154
"Memphis, Tenn.",1970,hispanic,NA
Milwaukee,1960,hispanic,0.733333333
"San Jose, Calif.",1875,hispanic,0.406976744
Miami,1860,hispanic,0.116751269
Denver,1820,hispanic,0.391752577
"Sacramento, Calif.",1820,hispanic,0.0
"Charlotte, N.C.",1780,hispanic,0.321428571
"Tampa, Fla.",1715,hispanic,0.326923077
Indianapolis,1620,hispanic,NA
"Santa Ana, Calif.",1590,hispanic,0.148648649
New Orleans,1560,hispanic,NA
"Oakland, Calif.",1530,hispanic,0.108108108
"Orlando, Fla.",1530,hispanic,0.111111111
"Oklahoma City, Okla.",1500,hispanic,NA
Seattle,1445,hispanic,0.0
"Kansas City, Mo.",1440,hispanic,NA
"Nashville, Tenn.",1440,hispanic,NA
"Laredo, Texas",1435,hispanic,0.931330472
"Fort Worth, Texas",1430,hispanic,0.559322034
"Louisville, Ky.",1430,hispanic,NA
"Norfolk, Va.",1425,hispanic,NA
"Arlington, Va.",1360,hispanic,NA
Pittsburgh,1350,hispanic,NA
"Albuquerque, N.M.",1340,hispanic,0.566371681
"Jersey City, N.J.",1170,hispanic,0.325581395
"Raleigh, N.C.",1150,hispanic,NA
"Rochester, N.Y.",1150,hispanic,NA
Cincinnati,1145,hispanic,NA
"Long Beach, Calif.",1115,hispanic,0.3125
"Birmingham, Ala.",1110,hispanic,NA
"Wichita, Kan.",1075,hispanic,0.896551724
"Virginia Beach, Va.",1070,hispanic,1.0
"Fresno, Calif.",1040,hispanic,0.46031746
"Buffalo, N.Y.",1010,hispanic,0.523809524
Minneapolis,1000,hispanic,NA
"Portland, Ore.",1000,hispanic,NA
"Reno, Nev.",1000,hispanic,NA
"Richmond, Va.",1000,hispanic,NA
"Baton Rouge, La.",980,hispanic,NA
